,id,tweet,sarcastic,rephrase,dialect
1918,1919, يينكسر ملاذ الصواريخ علي اصابعنا كالفخار 🙌🏻  قروب فلسطيني  فلسطين ,0,,msa
1544,1545,ما نحن فيه الان هو كله بفضل الشهداء و مصابي الثوره لذلك لابد من تاسيس هيئه تكون مهمتها تكريم اصحاب الفضل فيما نحن فيه الان,0,,msa
826,827, دعوة الصائم لاترد اللهم أغفر لي ذنبي وأجلي همي وبدد وحشتي وأنر قلبي بذكرك وطاعتك وأجعل الخير مفاتح دربي والصدق نور طريقي,0,,msa
1501,1502, كوني لنا الأم الرحيمة التي لا تكدر أبنائها مهما كانوا أشقياء ....وكوني لنا الأب القوي الذي يخاف على أبناءه مهما كانوا أعصياء .. ليبيا ,0,,msa
685,686,هي اجى صاحبك,1,هي اجى الي بتكرهه,levant
37,38,هم يزعلون لازم ( تقدر ظروفهم ) انت تزعل عيب انت جدار شفيك نسيت,1,الست من حقها تزعل لكن الراجل مش من حقه,gulf
5,6,حامل في السادس وماكنتش ملاحظ ده قبل الجواز طب وبالنسبة لليلة الدخلة.,1,انت مغفل وتزوجت إمرأة حامل ولم تلاحظ,nile
564,565,حوش يا ولاد هموت من كتر الضحك,1,دمك مش خفيف,nile
668,669,مرار طافح هما منوينش يفوزو عليهم حتا واحد صفر تخليص حق,1,ياريت يفوزوا فوز واحد ويفرحونا ,nile
280,281,سيبك منه يا عم ده يومه بسنة,1,هو بطئ ومش هيخلص اللى وراه بسرعة,nile
936,937,ورغم ان الكلام اصلا بينقص حاجة كل ما زاد ورغم انى جدع وتقيل وعمرى ما اقولها بالساهل  من زمان جدا  محمد محسن,0,,nile
2233,2234,دعبد المنعم ابو الفتوح يتحدث عن ذكرياته لواقعة المشادة الكلامية بينه وبين الرئيس السادات,0,,msa
1216,1217, ريال اشكبره بوعيال للحين يحب نوال الزغبي ,0,,levant
1601,1602, لا يهمني الكلمة نفسها في قضية ليبرون و فيل جاكسون بقدر ما يهمني اللعب في محتوى القصة و ذكرها من جانب واحد سلبي بينما ليبرون كان قصده نبيل ,0,,msa
507,508,لمآ ترمي شيء من بعيد ويدخل بآلزبآلة تقعد تنآظر آللي جنبك النظره الاحترافيه,1,لمآ ترمي شيء من بعيد ويدخل بآلزبآلة تقعد تنآظر آللي جنبك وكانك لاعب كرة سلة محترف,nile
538,539,النادي دا أصيل جدا طول عمره ف مكانه,1,النادي دا فاشل ومش بيتقدم,nile
236,237,كان ديكان يعيشان في سلام حتى ظهرة دجاجة,1,معضم المعارك و الحروب كانت بسبب انثى,msa
1124,1125,يجب فصل الحركة الدعوية عن التنافس على السلطة السياسية,0,,msa
101,102,فاكرة نفسها اينشتاين وراحة تخش علمي علوم,1,هي مش ذكية,nile
512,513,عاش يتمنى في عنبة مات جابولو عنقود ههههههههههههههههههههههههههههههههههه,1,عاش مغيبا مغمورا و حين مات كرموه,magreb
626,627,ارفع راسك فوق انت صيني,1,ان الصين سبب كل الامراض ,nile
2669,2670, أوسكار : لقد امضيت سنتان مميزتان حتى الأن، و أريد أن استمر في اللعب هنا لسنوات عديدة مثل تيري ولامبارد,0,,msa
251,252,مافي حدا مثله يضحك عليك,1,مفيش حد مثله في الخداع,levant
352,353,دة عامل فيها تامر حسني,1,ده شخص مهتم بمظهره زيادة,nile
263,264,فاكر نفسك عبقرى,1,أنت مبتفهمش,nile
488,489,ديه فاكره نفسها هيفا وهبي,1,فاكره نفسها جميلة وهى لأ,nile
3026,3027,اكتر ناس كدابة وزارة الصحة احنا عندينا في البلد 500 حالة بس غير المحافظات التانية جايين تظيطو وتقولو ارقام وهمية,0,,nile
1406,1407, الرئيس ميشال عون: مناورات قام بها سياسيون لبنانيون لمنعي من العودة من المنفى. وتدخلات من قبل وزارة الخارجية الفرنسية لإبقائي في فرنسا. ,0,,msa
1616,1617,متفق مع جوانب بمقال أحمد خالد توفيق وأعتقد أن التحفز ضد الحاكم دون فبركة أو كذب هو أمر مهم في بلد تعشق صناعة الفرعون,0,,msa
2519,2520, المرصد المعارض:  الجيش السوري يتقدم في القسم الجنوبي من أحياء  حلب الشرقية ويسيطر على منطقة المعصرانية وعلى الأطراف الشرقية من حي باب النيرب ,0,,msa
1395,1396,لا اعترف بسفير يدين مواطنه قبل ان يجرى تحقيق محايد وعادل لا تعرفه السعودية هذا سفير مبارك وليس سفير مصر أبدا,0,,msa
2194,2195,ﻷنك انت كل حياتي مهما بالدنيا يصير ♡  كلمة حلوة ,0,,nile
2762,2763, تصادف رحيل د.صادق العظم مع ترحيل أهالي حلب الشرقية، وما عرفنا نقول له مع السلامة وين رايح، مع السلامة يا مسك فايح. ,0,,levant
583,584,صاروخ الفضاء المصري اطلق عام 1970 ولم يعد حتى الان,1,مفيش صواريخ اطلقت كله كدب,nile
814,815,كما تهمنا  مصر تعنينا  دمشق وكما تُشقينا  غزة تقتلنا  بغداد وكما نحب  اليمن نخشى على  ليبيا أما  قطر فهي سيدة النهوض و…,0,,msa
2689,2690,  بروكسل — تمديد العقوبات الأوروبية على  روسيا حتى يوليو المقبل ,0,,msa
1442,1443,أمراض السياسة حين تؤلم شخصيا,0,,msa
2506,2507,اختيارلجنة المائة يجب أن يتم وفق معايير واضحة تراعي تمثيل كافة قطاعات المجتمع من رجال نساء عمال فلاحين مسلمين مسيحين وأهلنا في سيناء والنوبة,0,,msa
693,694,الحمد لله انا الموضوع كان قالقنى خالص كده هعرف أنام مطمن عليكم,1,ان موضوع النقاش والكلام به وشغل الناس به هو شيء تافه جداً,nile
360,361,ده فاكر نفسه عمر دياب,1,ان منبصش لاراء الناس اللي يعجبه افعالك يبقي تمام واللي مش عجبه يبقي ينتف حواجبه,nile
310,311,دى فاكره نفسها الام تريزا,1,يعنى فاكره نفسها لتساعد الناس,nile
1801,1802,اي أمرأة تصنع الحب والايثار والاهتمام والعطف والحنان مؤهلة ان تصبح أم مثالية,0,,msa
13,14,اللي تعرف ديته اقتله,1,حاول ان تجد نقاط ضعف خصمك,nile
464,465,رمضان نايتس ده بتاع العيال التوتو انما احنا عندنا اكتئاب نايتس,1,الشعوب فى شهر رمضان فى الليل يخرجون وبعد فيرس كرونا اصبحوا لا يخرجون واصيبوا بالاكتئاب,nile
987,988, يمكن أن تفيد الزيوت العطرية في تحسين المزاج وتهدئة الأعصاب والتخفيف من الاكتئاب، مثل الياسمين والورد والبابونج.  ريال مدريد ,0,,msa
342,343,ياما في الجراب يا حاوي,1,معايا حاجات كتير,nile
612,613,مورينيو: كرة القدم للرجال على لاعبي أرسنال التوقف عن البكاء,1,لاعبي ارسنال لا يلعبون بشكل جيد,nile
609,610,ودنك منين يا جحا,1,ودنك منين يا غبي,nile
2834,2835,ده محسسني انه ارشميدس يا عم هو مفكر نفسه مين الاهبل دا,0,,nile
1954,1955,مشاكل العمال تتفاقم ضرورة حوار ثلاثى عاجل بين الحكومة وأصحاب الأعمال و النقابات العمالية لوضع إطار متوازن يحفز الإنتاج ويضمن حقوق العمال,0,,msa
3023,3024,فائق حسن يتغزل في أصالة هنبتدى بقى وصلة الموحن اللى على السوشيال ميديا,0,,nile
2779,2780,اليوم السابع | كلاب بوليسية لتأمين  امتحانات  عين شمس و  الجامعة: منع دخول المفصولين,0,,msa
2943,2944,التموين: استمرار صرف السلع التموينية اليوم ضمن مقررات سبتمبر,0,,nile
165,166,جميل بصراحه عندنا الولد يبقي 25 سنه ويرفع رجليه ع الحوض علشان يتوضي بالعافيه 😂😂😂,1,الشباب هنا فى بلاد العرب مبيعملش رياضة ومعندوش لياقة,nile
31,32,حوحو يشكر روحو,1,يزي ما تشكر في روحك,magreb
1652,1653, زمكان -  مصر | أخبار مراسلينا | ابراهيم  حماد يمنع استخدام عربيات ربع النقل فى نقل الركاب فى  اسيوط اسيوط -,0,,msa
2245,2246,اللى حصل مع محمود شعبان فى التحرير أفترا عليه لأنه ضعيف,0,,nile
316,317,الجواز زى الحمام الى جوه هيموت ويخرج والى بره هيموت ويدخل,1,الجواز صعب لكن الكل عاوز يجرب والكل يصدم من المسؤليه,nile
557,558,مين البنات دول ..من انهى مجرة,1,بنات جميلة جدا,nile
1237,1238,مواليد برج  الأسد تعجبك صداقتهم كثيراً,0,,msa
106,107,الناس بتشتري لب ولا اكننا في العيد مش في اعصار,1,الناس بتشتري لب وسوداني وفي وقت المشكله دلوقت,nile
471,472,عادي يعني بكره هنسمع انو خرج بكفاله 2 مليون جنيه ولا حاجه,1,مفيش عدالة المهم يدفع فلوس,nile
444,445,ايوة عارفه بيزيل الصداع ويجلب الحبيب واكل الزبيب ورد المطلقة والعيشة السفلقة وكفته بالبهارات وانت اقوي م المخدرات,1,اغلي بهارات في العالم الزعفران الكيلو يصل لـ 70 ألف جنيه,nile
154,155,انت هتصيع على مين ياض,1,انت بتتذاكى  على اللى أذكى منك,nile
719,720,دا عامل فيها ابو العربى,1,دا شخص مبالغ جدا,nile
2628,2629,احضن اللى بتحبه   بكلامك   ^ ^ ! - قوله كلمة حلوة  فجأة : ) !,0,,nile
452,453,طول العشرة تعرف الذهب من القشرة.,1,اذا اردت معرفة شخص ما عاشروا لمدة طويلة,magreb
220,221,نحن نختلف عن الاخرون خالص,1,فاكر نفسه ناصح ومحدش بيفكر زيو,nile
344,345,رايحه فين ياحلوه رايحه احيب اومو,1,استهزاء بالسؤال وعدم الرغبه فى الافصاح عن الاسباب,nile
1665,1666,  الولايات المتحدة 🇺🇸 عاجل |  ترامب يختار الجنرال المتقاعد جيمس ماتيس وزيرا للدفاع ,0,,msa
158,159,دى فاكره نفسها صوفيا لورين,1,دي وحشة,nile
412,413,يا عيني عالادب والأخلاق اللي بتنقط,1,شخص معروف بقلة الادب,nile
3008,3009,دارى على شمعتك عشان تقيد دى الناس بقت بتحسد اللى بيكون يوم الجمعة,0,,nile
1694,1695, مسيرة جبران تويني مستمرة مع النهار في انارة كل خطوة على طريق تحقيق السيادة والحرية والاستقلال دفاعاً عن لبنان العظيم ,0,,msa
68,69,كده كده يا زمالك الدوري في الجزيره 	 عامل فيها بطل وهو بتاع بليله,1,ان الزمالك فريق ضعيف لا يجيد المنافسه,nile
480,481,هو انا الوحيده إللى مبهتمش بالتليفونات ولا عشان انا شحاته مبشغلش بالى,1,لا اهتم بالتليفونات ولا يشغل بالي هل لأني لا املك المال؟,nile
2356,2357,سلاماعلى شهداء الانتصارالعربى ، وتحية الى قواتنا المسلحة التى عبرت بمصر من الهزيمة الى النصر (إن ينصركم الله فلا غالب لكم),0,,msa
2799,2800,  الناتو  في بروكسل.. تحديات امنية والعلاقة مع ادارة ترامب وروسيا ازمة ســوريا وتقوية فاعلية التحالف ضد  داعش  ابرز نقاط البحث ,0,,msa
1981,1982,أمير العمري:  الشتا اللي فات : شهادة سينمائية بليغة عن الثورة,0,,msa
1693,1694, هنا في مدينة تصمد..تبدأ من جديد دائمآ .. تنزف وجعآ وتبتسم.. قتلونها وتحيا..يهدمونها وتبنى..عيش أنافي مدينة لا تعرف الإستسلام بنغازي ,0,,magreb
365,366,راك كي الشمس ضويتلنا الحالة,1,راك شباب,magreb
90,91,اجمل حاجه للكره المصريه فى ٢٠٢١ ان البدرى انزاح يا ساتر كابوس,1,حسام البدري افشل مدرب لمنتخب مصر,nile
300,301,اشتري دماغك وفكك يا ريس,1,متهتمش الموضوع مش مستاهل تشغل بالك,nile
591,592,الشاطرة ديما تغزل برجل الحمار,1,الذكية  هى من تتصرف وتنجح بأقل الامكانيات المتاحة,nile
405,406,عظيمة يامصر اختراع جهاز الكفتة لعلاج الايدز,1,كدب وافتراء فى مصر إنهم إخترعوا جهاز لعلاج الإيدز,nile
2616,2617, قوات  الاحتلال تعتقل شابا من مخيم شعفاط، وتصادر سلاحا من منزله، الليلة الماضية. ,0,,msa
373,374,ابوها راضي ، وانا راضي وانت مالك يا قاضي؟,1,انت مالك لا دخل لك,nile
684,685,الفيس تيس وتويتر عنزة,1,الفيس اصبح ملل مثل تويتر,nile
574,575,المديره دى صعبة خالص طبلها علشان تعدى يومك,1,نافق المديرة علشان أمورك تبقى كويسة فى الشغل,nile
222,223,انا نفسي اروح مكان ميكونش فيه سرنيخ ابن يومين,1,عاوز اروح مكان ميكونش فيه حد خالص,nile
1743,1744,فيك عن ميثاقك الوافي جنوح لا انتحيتي كالخيول الجافله من يؤمن في رجوعك به تروح للهموم أللي بسنيـنك حافله  محمد الشمري,0,,gulf
853,854,  غرد كانك في التسعينيات المطرب الصاعد وائل كفوري والمطربة الصاعدة نوال الزغبي يتألقان في دويتو بعنوان  مين حبيبي أنا  ,0,,msa
2979,2980,رئيس البرلمان الليبي يؤكد لمسؤول إيطالي دعمه لإجراء الانتخابات 24 ديسمبر المقبل,0,,nile
485,486,الف مبروك الانتصار لفريقنا، مدرب الفريق الثاني ماخذ وضعية سوي نفسك ميت !,1,مدرب الفريق المنافس حزين و لا يريد ان يظهر ذلك للعلن.,gulf
2054,2055,حاجات بتفرح في مصر اللمه الحلوه مع اصحابي,0,,nile
628,629,الحياة بدون أخت متل الشارع بلا زفت,1,الدنيا بدون اخوات بنات لا يمكن العيش فيها مثل الشارع غير الممهد بالزفت,levant
1643,1644, إطلاق النار الذي سمع قرب حاجز  قلنديا قبل قليل، نتج عن إطلاق جنود  الاحتلال النار صوب مستوطن كان يركض باتجاه الحاجز ظنوا أنه فلسطيني. ,0,,msa
2450,2451, محتاجة حد يخاف عليا مش أبقى خايفه معاه إليسا ,0,,nile
1120,1121, هافانا بعد رحيل  فيديل كاسترو ليست كما قبله،، ✌- مليون شخص يشاركون في وداع رماد فيديل كاسترو،، وداعاً  كاسترو.. ,0,,msa
396,397,براحة على نفسك ليطق لك عرق,1,عصبيتك الزايدة هتأذيك,nile
939,940,🔴  موسكو: الامم المتحدة لم ترسل اي اقتراح لايصال مساعداتها الانسانية بعد تحرير  الجيش السوري لـ40% من احياء شرق حلب,0,,msa
44,45,داخل علمي رياضة وفاكر نفسه فيثاغورث,1,داخل علمي رياضة وهو غبي,nile
2212,2213, و فجآه تقفل كل شي عن بوكيمون قوو😂 ,0,,nile
1748,1749, إنما المؤمنون إخوة  علي شعار رابعة خلفية الزعيم  أردوغان في منظر ولا أروع  مرسي رئيسي,0,,msa
2870,2871,منكم لله اخر سنه ليا وهتخرج ومش لقيا شغل اسدد المصاريف منكم لله بحق الحالي الي انا فيها,0,,nile
2871,2872,اجمل خبر اقاله حسام البدري من تدريب المنتخب المصري,0,,nile
223,224,كاليتي شغل ماتش مرسوم بطباشير,1,جودة البث سيئة,magreb
50,51,الزمالك فريق فاشل وعشان مباره فازها شاف نفسه علينا,1,الزمالك فريق  فاشل ومغرور,nile
1080,1081,شباب الحملة ناشط في كل محافظة من أجل مصر المستقبل بارك الله فيكم معاً سنغير,0,,msa
311,312,عارف سعر ايفون اكس بكس فيكس شيكس كام,1,اصدارات ايفون متشابهة وليس بها جديد ويختلف الاسم كل مرة والسعر يزيد,nile
2878,2879,اذا اغضبك احد ما فلا تجادله فإن الحياة مليئةبالحجارة.. لا لتتعثر بها.. بل اجمعها واضرب فيها اليجالطك,0,,nile
2660,2661,شعرت بالحزن أثناء زيارتي للكنيسة بعد أن تحدث معي العديد من الأقباط عن إحساسهم بالظلم الواقع عليهم كأقلية في مصر,0,,msa
713,714,انت عملي فيها زي جماهير نادي البليله ليه,1,عملي فيها مشجع زملكاوي,nile
241,242,ويندوز احسن نظام تشغيل بالدنيا,1,ويندوز نظام تشغيل سيء,levant
1702,1703, إبراهيم محلب يعلن افتتاح خط طيران  القاهرة -  إنجامينا عاصمة تشاد أول أغسطسويكلف وزير الطيران باتخاذ الإجراءات,0,,msa
541,542,شابوه يوسف الشريف بجد,1,برافو يوسف الشريف,nile
963,964, قريباً سيتم طرد عناصر علي محسن وهاشم الأحمر  والإصلاح من منفذ الوديعة. والطائرات التي يتعبدونها قد تستهدفهم غداً.  اليمن  السعودية ,0,,msa
2355,2356,كن شريفاً امينا ً لا لأن الناس يستحقون الشرف والأمانة بل لأنك انت لا تستحق الضعة والخيانة  عباس العقاد,0,,msa
159,160,عمل زى اللى رقصوا على السلالم لا اللى تحت شافهم ولا اللى فوق سمعهم,1,مقدرش يكمل علشان يحقق حلمه بعد ما تعب فيه,nile
330,331,لابق للشوحة مرجوحة ولام بريص قبقاب,1,هذا الكائن بلبقلوش اشي لانه بخزي,levant
1503,1504,مدينة  السادات كانت كل المباني فيها تقريباً (مباني المدينة أو الجهاز) عليها سخانات شمسية,0,,msa
1173,1174,حـازم إمـام: جمـاهير الأهـلى  بتــفهم كـورة ,0,,nile
42,43,من كتر فلوسك تسلف بنك,1,بتتكلم وكأنك معاك فلوس كتير وأنت معدوم,nile
2863,2864,للاسف رغم انى دكتور و ناجح الا ان ابنى فشل باب النجار مخلع,0,,nile
709,710,زيت الزيتون يشفي كل شيء حسب جداتنا,1,زيت الزيتون فيه منافع لكل داء,magreb
457,458,الراجل الخايب خلفته كتير والبطيخة القرعة لبها كتير,1,الرجل الخايب يقوم بالخلف كثير مثل البطيخه الغير ناضجة,nile
631,632,هوه حد هيعد وراكو الورق ورقنا والدفاتر دفترنا الناس خلاص فهمت,1,ارقام لا مصداقية لها وبيانات زائفة,nile
66,67,أنت ترجع الغيط !,1,واحد في مكان مش مناسب له,nile
470,471,المصريين في الفهلوة مفيش زيهم,1,أن المصريين يحبوا يبينوا نفسهم عارفين كل حاجة,nile
622,623,حكيم زياش ينقد عصفور من التحليق في السماء,1,المبالغة فى مدح حكيم زياش والصاق أمور خيالية به,msa
658,659,حنان الرجل يفوق حنان الأم 10 أضعاف عند محاولته التعرف على فتاة جديدة,1,الراجل بيمثل أنه حنون من أجل التعرف على بنت جديدة,nile
2103,2104,ننعي الي الانسانية رمزا متألقا للنضال في سبيل الحرية والنهضة والكرامة الانسانية القائدوالمجاهدوالمفكر العربي احمد بن بيللا زعيم ثورة الجزائر,0,,msa
2189,2190,كل التضامن مع ثورة شعبنا العربى فى اليمن من أجل الحرية والديمقراطية والعدالة والوحدة ثورة الشعب العربى ممتدة من المحيط إلى الخليج حتى النصر,0,,msa
47,48,الناس لسه بتتجوز بردو لا حول والا قوة الا بالله ماحدش بيتعظ,1,يعنى الجواز كله مشاكل ماحدش بياخد عبره من الناس اللى قبله,nile
181,182,خطوبه يومين علي البحر قليل,1,إستهبال فى الإحتفال بالخطوبة لمدة يومين على البحر,nile
511,512,مكسح طلع يتفسح قال بفلوسه,1,الانسان حر مالم يضر,nile
2639,2640,حلب إنطلق منها نور الدين فضم دمشق للجبهة الإسلامية سنة 549هـ وحقق بذلك توازن قوى مع الصليبيين ليبدأ بمجاهدتهم بكل قوة وإقتدار ستبقى حلب,0,,msa
1986,1987,ادعوا الى إتفاق القوى الإسلامية والليبرالية واليسارية على تداول السلطة في إطار الالتزام بمبادئ الشريعة الإسلامية كمصدر أساسي للتشريع,0,,msa
1963,1964, لا  للمداخلة السلفيين في  ليبيا ,0,,msa
10,11,نفسي افهم مين الي نزل الكائن ده كتالوج الحريم,1,دى وحشة أوى علشان تبقي فى المجلات ومشهورة,nile
2394,2395,قل لا للدستور تنقذ مصر من العنصرية والدسكتاتورية والتقسيم,0,,msa
2581,2582,مؤتمر  المفكرين  في أبو ظبي :العالم يعيش ثورة العلم والتكنولوچيا والتواصل الإنساني ونحن نعيش حقبة الجهل والكذب وغياب القيم حزين عليك يا مصر,0,,msa
221,222,دا فاكر نفسه جاستن بيبر,1,فاكر نفسه صوته حلو زى المغنى جاستن بيبر وهو صوته وحش,nile
271,272,ماتاكلش دماغي أنا مش ناقص,1,متزعجنيش أنا مشغول,nile
1591,1592,هو كان اسمه بوتر وكان دايما يتأخر في التصوير والمخرج يكلمه يقله هاري بوتر هاري بوتر لحد ماطلعت عليه..,0,,msa
424,425,الطفل المصري اذكى طفل فى العالم,1,الطفل المصري مش ذكى,nile
2403,2404,يوم 7/7، يوم هام في مشروع (العلم قوة) وهدفه جذب وتسكين 100 ألف أمي داخل الفصول، في يوم واحد، عن طريق 10 ألاف,0,,msa
2457,2458,الحل السياسي يهدف للبدء في بناء الاقتصاد ولا يعني التصالح مع من تورطوا في عنف  السادة المحترمون …,0,,nile
2093,2094,مفيش حاجه اسمها  عيب فى حاجه اسمها  حرام الخوف بيكون من  ربنا مش الناس !,0,,nile
3005,3006,المدربين الفشله يستقيلوا من الانديه علشان فاكرين انهم يمسكوا المنتخب احوووه,0,,nile
301,302,زى الديب طبعه غريب ان شفته هرب وان ماشفته وثب,1,هو مالوش امان و غدار,msa
1052,1053, انهى اروش ف مسكة السيجارة بوب ديلان ولا ديفيد بوى؟! ,0,,nile
201,202,جايب 5 من  10 في الامتحان ده انت تيجي تذاكرلنا بعد كدة,1,انت فاشل في الدراسة,nile
505,506,ياخبرالنهارده بفلوس بكره ينزل عليه أوكازيون,1,متستعجلش تعرف اخبار الناس بكرة يجيلك لحد عندك من غير مجهود,nile
640,641,الوضع لوز,1,الوضع ممتاز,levant
2053,2054, مصر التاريخ مصر الرياده لن تركع الا لله وربنا معاك يا سيسى وان شاء الله مصر هتعدى  مصر لن تركع ,0,,nile
2304,2305,إخلاء سبيل  سما المصرى وتغريمها 20 ألف جنيه فى قضية بث قناة   فلول,0,,msa
715,716,ممكن تريحوا دماغكم وتعينوا خطباء نصارى او كفار,1,وزارة الأوقاف لا تقوم بوظيفتها,nile
437,438,العيون البصاصة تندب فيها رصاصة,1,الناس الحسودة تستاهل كل شر ,nile
1992,1993, عاجلبدء مقابلة  المسيرة مع الشيخ  نعيم قاسم  نائب الأمين العام لـ  حزب الله بمناسبة المولد النبوي الشريف ,0,,msa
69,70,العيش والملح بتاعكوا عملت غسيل معدة ورجعتوا,1,مستغني عن عشرتكو,nile
617,618,الماظ ايه يا ولاد التيت هو الشباب عارف يجب دهب لما يجيب الماظ,1,الشباب مش عارف يجيب شبكة ذهب علشان يتجوز أكيد مش هيقدر يحيب ألماظ,nile
503,504,ديل الكلب عمره ماينعدل لو علقوا فيه قالب,1,اى ان الطبع غلاب,nile
93,94,روح يا راجل شوفلك حته ناشفة اقعد فيها,1,امشى اقعد بعيد عنا,nile
2706,2707, يشترط لكونك مذيعة تقدمين  مهرجان القاهرة السينمائي أن ترتدي فستان بدون كتف أيمن...! ,0,,msa
2838,2839,طيب اوي اللي يفتكر ان حد هيحبه اكتر من نفسه,0,,nile
2215,2216,ياسر أبو عمّار في  سياسة في دين : غيّرت موقفي من حزب  النور بسبب مواقفه المخزية مع الرّئيس  محمد مرسي ووقوفه مع  ,0,,msa
669,670,أنا لو شغلت اللعبة دي علي جهازي هيفرقع 😂,1,جهازي ميقدرش يشغل اللعبة دي,nile
2409,2410, بوابة  اليمن الاخبارية | تعز اشتباكات هي الاعنف بالاسلحه المتوسطه والمدفعيه في مديرية الصلو .اللهم احفظ الابرياء والمواطنين. ,0,,msa
732,733,ثم تكتشف أنك صببت كل مشاعرك صبا في شخص مخروم,1,هتحب حد ميستاهلش مشاعرك ,msa
371,372,ليست المشكلة انى فائق الذكاء ولكن انى أقضى كثير من الوقت فى حل المشاكل,1,انا لست ذكى لانى أقصى كثير من الوقت فى حل المشاكل,msa
1354,1355,يابوب ارجع محتاجينك بجد  ارجع يا بوب,0,,nile
421,422,الاهلى والزمالك دايما يناقروا فى بعض ناقر ونقير,1,الاهلى والزمالك فريقان منافسان دائما,nile
312,313,راك تفكر روحك اديسون,1,تفكر روحك ذكي,magreb
451,452,الناس كلها يتمشى فى الشارع تلاقى فلوس إلا أنا يمشى تلاقى مشابك,1,أنا حظى وحش فى كل حاجة,nile
568,569,الغباء هو المرض الوحيد الذي لا يتعب المريض وإنما يجلط كل المحيطين به,1,الغبي لا يري مشكله في نفسه,gulf
187,188,لا الشعب المصري الصراحة ناقصها بس الايفون iPhone 13 Pro Max,1,الشعب المصري لا يجد ما ياكله ويعلنون عن الأيفون الجديد,nile
846,847,البقية فى حياتك كان راجل عظيم,0,,nile
665,666,ان شاء الله اللاعب شيكابالا هيلبسنا في اتخن حيط في النادي,1,اللاعب شيكابالا سوف يوقعنا في ورطة كبيرة,nile
1452,1453,إذاغيب الموت  نعناع الجناين فإن حكاء مصرالأصيل سيظل حاضرافى الوجدان المصرى بأعماله التى جسدت أحلام المهمشين،رحم الله صياد اللولى خيرى شلبى,0,,msa
326,327,انا مليش في اللف والدوران,1,انا احب الصراحة,nile
1063,1064,…  فودافون,0,,msa
918,919, عندما يسيل الحِبر دماً.... فالكتابة أصبحت بدعة في شرقنا، ويا للأسف.في ذكرى جبران تويني. ,0,,msa
229,230,اللي بيته من إزاز ميحدفش الناس بالطوب,1,شخص معيوب وبيعيب على الناس بعيوبه ومش واخد باله انه معيوب,nile
2597,2598, خلق جميل الشعور بالغير,0,,msa
2073,2074,سفر رئيس الجمهورية ورئيس الوزراء إلى الخارج في هذا التوقيت استهانة بالشعب المصري 25,0,,msa
746,747, وندهلي حبيبي جيت بلا سؤال من نومي سرقني من راحة البال 😍✋ فيروز ,0,,msa
21,22,شهر سبتمبر عدى منها خمسة عشر يوم فى ثلاث ايام فقط ياريت كل الشهور تتعلم منه,1,شهر سبتمبر عدى بسرعة,nile
189,190,طيب خد عمك حسام البدري فى ايدك و مسمعش صوت حد فيكم,1,افشل مدرب للمنتخب المصري هو حسام البدري,nile
124,125,محمد صلاح لديه خياشيم ويتنفس تحت الماء,1,محمد صلاح شخص خارق,msa
2306,2307, كارلو انشلوتي : لم أكن قلق حول رحيل ليفاندوفيسكي إلى ريال مدريد أو أي نادي آخر كنت أعلم رغبة اللاعب والنادي. ,0,,msa
500,501,فين بقى الرقابة الإدارية من أموال النادى الأهلى ولا هو حاميها حراميها,1,لا توجد رقابة على اموال النادي الأهلي,nile
1854,1855,خطاب عاجل إلى وزير التعليم: مدرسة الشهيد أحمد كمال في طنطا مأساة التعامل مع أسر شهداء الثورة:,0,,nile
606,607,مبين عليك بتفهم كثير.,1,فهمك قليل ومحدود.,levant
426,427,مالقوش العيش ياكلوه جابوا لهم عبد يلطشوه,1,انتم فقراء,nile
1771,1772,رفع الشعارات السياسية في الحج حرام شرعاً وخيانة وطنية …,0,,msa
793,794,  :  معرض الكتاب كتاب : المشوق إلى القراءة وطلب العلم لـ الشيخ    ,0,,msa
2631,2632,أن تكون علمانيا لا يعني أن تشتم  حسن البنا وأن تحكم على كتب  سيد قطب بانها ثرثرة وأن عبارة  إني اتطبّب بالجوع  للشيخ  ا…,0,,nile
1810,1811, محمود درويش,0,,msa
2354,2355, بتعرفني انا يا حبيبي قلبي معلق فيك و صدقني انا انا بنسى حالي و ما بنسيك و ايام الهنا يا حبيبي عشت بقربك انت ما انت  نوال الزغبي ,0,,nile
1798,1799,لقد قامت الثورة وضحى الاف المصريين بحياتهم من اجل استعادة كرامة الانسان المصري داخل مصر وخارجها اين وزير الخارجية اين عصام شرف,0,,msa
1126,1127,نتفق معك في ان الرجال يعرفون بالحق ولا يعرف الحق بالرجال,0,,msa
2489,2490,ستظل ذكرى استشهاد البطل عبد المنعم رياض تخليدا لملحمة مضيئة من أنصع صفحات التاريخ المصرى ورمزا لبطولات معركة الاستنزاف تحية له فى ذكراه,0,,msa
840,841,أرفض الدستور الذي ينص على محاكمة المدنيين عسكرياً,0,,msa
53,54,القوالب نامت والنصاص قامت عجيبه,1,اى ان الناس عديمه القيمه هى الظاهر فى المجتمع,nile
95,96,دا سايق بسرعة جدا فاكر نفسه طيار,1,سريع جدا,nile
2842,2843,دير الخير وانساه ودير الشر واتفكره.,0,,magreb
2386,2387,88%  من قضايا الابتزاز في السعودية سببها مقاطع وصور البنات  الجوف  دومة  القريات  سكاكا  سكاكا ال…,0,,msa
393,394,ده فاكر نفسه عمرو موسى,1,فاكر نفسه ليدافع عن حقوقنا,nile
